id,source,reference,lead_summary,model_summary
34363226,"Sarah Johnson was one of 21 women heading to Liverpool when their minibus was hit by a lorry on the M62.
Her friend Bethany Jones, 18, was killed while Ms Johnson and several others were badly hurt.
Minibus driver James Johnson was jailed for more than six years for causing Bethany's death, in April 2013.
Ms Johnson, who broke her shoulder, back and pelvis, said the help she received from a charity while in hospital led her to want to support others.
Speaking publicly for the first time about the crash, Ms Johnson described how everyone was ""excited and giddy"" for the hen party.
""To me the impact was just a massive explosion,"" she said.  ""I thought the bus had blown up.
""I remember the bus dropping on its side. The next thing, I woke up on the roadside so I'd actually come out of the window.""
Ms Johnson was taken to Leeds General Infirmary where she, along with Bethany's sister Amy Firth, underwent major surgery and spent time in intensive care.
Whilst she was there she got support from charity Day One, which helps victims of major trauma.
She said: ""It's absolutely fantastic.
""It supports people by giving benefit advice, legal advice and peer support such as me and Amy, who have been in similar situations and who are now helping other people who've suffered from major trauma.""
Ms Johnson said the crash had made her realise how lucky she had been.
""Beth can't complain, she's not here,"" she added.  ""We just have to be grateful for what we've got.""",A woman who was seriously hurt in a fatal hen party motorway crash is now helping other major trauma victims rebuild their lives.,Sarah Johnson was one of 21 women heading to Liverpool when their minibus was hit by a lorry on the M62.,"Sarah Johnson was one of 21 women heading to Liverpool when their minibus was hit by a lorry on the M62.Her friend Bethany Jones, 18, was killed while Ms Johnson and several others were badly hurt.Image copyright PAMinibus driver James Johnson was jailed for more than six years for causing Bethany's death, in April 2013. He was released on bail in May this year.Ms Johnson, who broke her shoulder, back and pelvis, said the help she received from a charity while in hospital led her to want to support others.Speaking publicly for the first time about the crash, Ms Johnson described how everyone was ""excited and giddy"" for the hen party.""To me the impact was just a massive explosion,"" she said.  ""I thought the bus had blown up. I thought I was going to die.""I remember the bus dropping on its side. The next thing, I woke up on the roadside so I'd actually come out of the window.""She was taken to Leeds General Infirmary where she, along with Bethany and sister Amy Firth, underwent major surgery and spent time in intensive care.She was discharged from the hospital in September 2013.Whilst she was there she got support from"
36914724,"A total of 1,400 tickets have sold out for the opening weekend at Bramall Hall in Stockport, Greater Manchester after renovation work began in 2014.
Stained glass windows and ceilings have been restored, while the public will be able to visit the dining room and butler's pantry for the first time.
Councillor Kate Butler, from Stockport Council, called it the ""jewel in the crown"" of the town's heritage.
The manor dates back to the reign of William the Conqueror when he bestowed the lands upon one of his followers, Hamon de Masci, who became the first Baron of Dunham Massey.
Since then the estate has been under the ownership of just three families: the Davenports, De Bromales and Nevills.
In 1936, the timber-framed hall and its surrounding parkland was handed over to the local council.
The transformation followed a £1.6m grant from the Heritage Lottery Fund and £400,000 in council funding.",A Tudor manor house has reopened following a £2.2m makeover.,"A total of 1,400 tickets have sold out for the opening weekend at Bramall Hall in Stockport, Greater Manchester after renovation work began in 2014.","A total of 1,400 tickets have sold out for the opening weekend at Bramall Hall in Stockport, Greater Manchester after renovation work began in 2014.Stained glass windows and ceilings have been restored, while the public will be able to visit the dining room and butler's pantry for the first time.Councillor Kate Butler, from Stockport Council, called it the ""jewel in the crown"" of the town's heritage.The manor dates back to the reign of William the Conqueror when he bestowed the lands upon one of his followers, Hamon de Masci, who became the first Baron of Dunham Massey.Hamon's son Hamon later became the second Baron of Hamon Massey, and Hamon's grandson Hamon became the third Baron of the Massey family.Since then the estate has been under the ownership of just three families: the Davenports, De Bromales and Nevills.In 1936, the timber-framed hall and its surrounding parkland was handed over to the local council.The transformation followed a £1.6m grant from the Heritage Lottery Fund and £400,000 in council funding."
40855910,"Two-year-old Lane Thomas Graves had been playing in the sand near the resort's Seven Seas Lagoon when he was dragged underwater by the creature.
His parents and older sister had been visiting the Grand Floridian resort in June 2016 from the state of Nebraska.
The lighthouse has been installed near to where the attack occurred.
Wildlife officials classified the killing as a predatory attack, saying the boy did nothing to provoke the alligator.
""He was in the water not more than ankle deep,"" the Florida Fish and Wildlife Conservation Commission said in a report, describing how the boy had been gathering water for a sandcastle.
His father, Matt Graves, jumped in the water to try to pry open the creature's mouth, but ""the alligator thrashed and broke Matt's grasp and went under the water,"" according to the report.
A Disney spokesperson said they hoped the monument would spread awareness for the Lane Thomas Foundation, which also uses the lighthouse as its logo.
Who is liable for alligator boy's death?
""The lighthouse sculpture has been installed to help spread awareness of the Lane Thomas Foundation, which was established to provide assistance and support to families whose children need organ transplants,"" Walt Disney World said in a statement.
After the death, Disney was criticised for not having posted signs warning of the danger along the man-made lagoon, which borders Magic Kingdom.
Public notices have now been added to the area, Florida media report.
The Lane family announced a month after the boy's death that they would not sue Disney, and would instead ""solely be focused on the future health of our family"".",Walt Disney World has unveiled a lighthouse memorial for a young boy who was killed by an alligator while on holiday at the Florida theme park.,Two-year-old Lane Thomas Graves had been playing in the sand near the resort's Seven Seas Lagoon when he was dragged underwater by the creature.,"Two-year-old Lane Thomas Graves had been playing in the sand near the resort's Seven Seas Lagoon when he was dragged underwater by the creature. He was pronounced dead at the scene.His parents and older sister had been visiting the Grand Floridian resort in June 2016 from the state of Nebraska.The lighthouse has been installed near to where the attack occurred. (Photo: Disney)Wildlife officials classified the killing as a predatory attack, saying the boy did nothing to provoke the alligator.""He was in the water not more than ankle deep,"" the Florida Fish and Wildlife Conservation Commission said in a report, describing how the boy had been gathering water for a sandcastle.The alligator then attacked the boy with its jaws.His father, Matt Graves, jumped in the air to try to pry open the creature's mouth, but ""the alligator thrashed and broke Matt's grasp and went under the water,"" according to the report.""The lighthouses are a symbol of life,"" the commission said.A Disney spokesperson said they hoped the monument would spread awareness for the Lane Thomas Foundation, which also uses the lighthouse as its logo.Read more:Who is liable for alligator boy's death?""Lane Thomas Foundation""""The"
32736400,"Michelle O'Neill hosted a departmental breakfast at the Balmoral Show on Thursday morning.
In attendance was the Chinese consul general Madam Wang Shuying.
Chinese inspectors visited Northern Ireland pork plants in April as part of a process to approve local pork for export.
Ms O'Neill said she was also hoping to agree access to Chinese markets for beef and chicken.
US consul general Greg Burton was also at the event.
Northern Ireland is hoping to sell beef into the United States.
Ms O'Neill said she was also working with Irish agriculture minister Simon Coveney to resolve labelling issues that have hit Northern Ireland lamb sales to meat plants in the Republic of Ireland.
She told guests that the quality of Northern Ireland food was ""something that carries our reputation around the world.""
She said it was ""safe, traceable and sustainably produced"" and she would seek to use that reputation to open doors.
It is the second day of the Balmoral Show, the biggest showcase for Northern Ireland's farming and food industries.",The agriculture minister is to return to China next month as attempts to access markets there continue.,Michelle O'Neill hosted a departmental breakfast at the Balmoral Show on Thursday morning.,"Michelle O'Neill hosted a departmental breakfast at the Balmoral Show on Thursday morning.In attendance was the Chinese consul general Madam Wang Shuying.Chinese inspectors visited Northern Ireland pork plants in April as part of a process to approve local pork for export.The visit was part of an effort to improve the quality of Northern Ireland's pork.Ms O’Neill said she was also hoping to agree access to Chinese markets for beef and chicken.US consul General Greg Burton was also at the event.He said: ""Northern Ireland is hoping to sell beef into the United States. It's something that we have been working on for a long time.""Mr Burton declined to comment on the visit to the show.Mr Burton said: 'We're looking forward to working with Northern Ireland.'Mr Burton was speaking at the same time.Mr Connolly said she said she would also working with Irish agriculture minister Simon Coveney to resolve labelling issues that have hit Northern Ireland lamb sales to meat plants in the Republic of Ireland.He declined to elaborate.She told guests that the qualityof Northern Ireland food was ""something that carries our reputation around the world.""She said it was ""safe, traceable and sustainably produced"" and she would seek to use"
40648389,"Allsop, 25, made his Premier League debut in November 2015 and has spent time on loan at Coventry and Wycombe.
Cooke, 20, won the European Championship with England Under-17s in 2014 and scored four goals while on loan at Crewe last season.
League One Blackpool have now signed nine players this summer.
Find all the latest football transfers on our dedicated page.",Blackpool have signed Bournemouth goalkeeper Ryan Allsop and midfielder Callum Cooke from Middlesbrough on season-long loans.,"Allsop, 25, made his Premier League debut in November 2015 and has spent time on loan at Coventry and Wycombe.","Allsop, 25, made his Premier League debut in November 2015 and has spent time on loan at Coventry and Wycombe.Cooke, 20, won the European Championship with England Under-17s in 2014 and scored four goals while on loan At Crewe last season.League One Blackpool have now signed nine players this summer.Find all the latest football transfers on our dedicated page."
39258636,"Media playback is not supported on this device
The Scotland head coach's side sit second bottom of Group F ahead of the game at Hampden Park on 26 March.
""We must win that game,"" he said. ""There is no getting away from that.""
But Strachan did not wish to consider what a defeat would mean for his own future and said: ""Whatever happens after that, we will look at that.""
The 60-year-old, who has been in charge since 2013, signed a new two-year contract in October 2015.
Following successive 3-0 defeats away to Slovakia and England, he took time to consider his position but decided in November to carry on after receiving the backing of the Scottish Football Association board.
As he announced his squad for the 22 March warm-up friendly against Canada, followed by the qualifier against Slovenia, Strachan underlined his belief that the Scots could still reach the 2018 finals in Russia.
""If we win that game, we will only be one point behind Slovenia, who are in second at the moment,"" he said.
Strachan, whose side lie fifth with four points from four matches, insisted he had ""no idea"" how many points they might require from their final six matches to qualify, while admitting that the Scots could not afford further setbacks.
""But we are looking forward to that challenge and I think the fans will be looking forward to that challenge of going to a game that you must win,"" he said.
""So, together, we can make it a right good night for us.
""The fans have always given us support, but we really need it on that night.
""The guys will be prepared, the fans will be prepared and we are looking to put in a right good performance.""
Strachan will again field questions about his future should Scotland fall short.
""I think fans, players, anybody who really wants us to do well, will be wishing us luck and dealing with anything after the game,"" he added.
""Everyone who wants to see us go to the World Cup will be backing us to win this game.
""The most important thing is three points and enjoying the build-up, which we will be doing.
""The best part of my job is coaching and I am looking forward to that and then looking forward to the challenge of the game.""","Scotland must beat Slovenia if they are to resurrect their chances of reaching the World Cup finals, Gordon Strachan has acknowledged.","Media playback is not supported on this device
The Scotland head coach's side sit second bottom of Group F ahead of the game at Hampden Park on 26 March.","Media playback is not supported on this device Strachan: 'We must win that game'The Scotland head coach's side sit second bottom of Group F ahead of the game at Hampden Park on 26 March.Strachan said: ""We have to win the game.""We must do that game,"" he said. ""There is no getting away from that.""He added: ""It is a game we must win.""But Strachachan did not wish to consider what a defeat would mean for his own future and said:�Whatever happens after that, we will look at that.""The 60-year-old, who has been in charge since 2013, signed a new two-year contract in October 2015.Following successive 3-0 defeats away to Slovakia and England, he took time to consider his position but decided in November to carry on after receiving the backing of the Scottish Football Association board.As he announced his squad for the 22 March warm-up friendly against Canada, followed by the qualifier against Slovenia, Strachans underlined his belief that the Scots could still reach the 2018 finals in Russia.He said he was confident his side would be able to do so.""If we win that one, then we will only be one point"
38839837,"Clive Weatherhogg's counsel told appeal judges that prosecutors now conceded there had been a miscarriage of justice over the coercion charge.
Appeal judges also agreed that a jury was misdirected over charges relating to the footage sent to relatives.
Mr Weatherhogg, 43, was jailed last May after being found guilty by a jury.
It is understood he will now be released from prison.
Sheriff George Way had remitted the case from Dundee Sheriff Court to the High Court in Edinburgh to be dealt with because of its greater sentencing powers.
Defence counsel Shelagh McCall QC told the Court of Criminal Appeal in Edinburgh that the Crown conceded there was insufficient evidence to prove lack of consent on the coercion charge.
The Lord Justice Clerk, Lady Dorrian, who heard the appeal with Lady Paton and Lord Turnbull, said: ""We are satisfied the concession is well made.""
Lord Turnbull said that information conveyed to the court seemed to show that even at an earlier preparatory marking stage in the case there were concerns over a lack of corroboration.
Lady Dorrian said the appeal judges were also satisfied that misdirections given to jurors by Sheriff Way over the charges relating to the footage sent to relatives were ""material and constituted a miscarriage of justice"".
Mr Weatherhogg, of Guthrie, near Forfar, Angus, had denied the charges during the trial, but admitted a separate charge of uploading the film to the internet.
He was jailed for four-and-years by Lady Wolffe with an additional 18 months for the charge he admitted.
The appeal hearing was told that Mr Weatherhogg had been in custody since March last year and had served the 18 month sentence, taking into account early release provisions.","A man jailed for six years for coercing a woman into having sex with a stranger and sending ""revenge porn"" to her family has had the convictions quashed.",Clive Weatherhogg's counsel told appeal judges that prosecutors now conceded there had been a miscarriage of justice over the coercion charge.,"Clive Weatherhogg's counsel told appeal judges that prosecutors now conceded there had been a miscarriage of justice over the coercion charge.Appeal judges also agreed that a jury was misdirected over charges relating to the footage sent to relatives.The case was referred to the Scottish Court of Criminal Appeal in Edinburgh on Tuesday.Mr Weatherhog, 43, was jailed last May after being found guilty by a jury.It is understood he will now be released from prison.The Crown had argued that the Crown had failed to prove lack of consent.Sheriff George Way had remitted the case from Dundee Sheriff Court to the High Court in Edinburgh to be dealt with because of its greater sentencing powers.The appeal was heard on Tuesday afternoon.Defence counsel Shelagh McCall QC told the Court of Justice Appeal on the Crown conceded there was insufficient evidence to prove absence of consent on the coercion claim.The Lord Justice Clerk, Lady Dorrian, who heard the appeal with Lady Paton and Lord Turnbull, said: ""We are satisfied the concession is well made.""Lord Turnbull said that information conveyed to the court seemed to show that even at an earlier preparatory marking stage in the case there were concussions between the Crown and the defence."
32136921,"John Morley, 29, of Deanstown, Finglas West, is alleged to have carried out a sustained weekend attack at the Chimney Corner Hotel in Mallusk.
The victim, Derek White, was said to have been stabbed in the chest and leg.
Mr Morley, is charged with the attempted wounding of Mr White and possession of an offensive weapon with intent to commit an offence.
He is further accused of disorderly behaviour and possession of Class B drugs, namely cannabis.
He will not be released from custody until all conditions are met - including the lodgement of a Â£2,000 cash surety.
Police detained him after being called to the hotel just outside north Belfast in the early hours of Sunday.
Paramedics were already on the scene treating Mr White, who is believed to be aged in his 30s.
At the defendant's first appearance before Belfast Magistrates' Court it was alleged that he chased the victim through the hotel with a flick knife.
A police officer revealed the two men had travelled to Northern Ireland with their children for a football match.",A Dublin man accused of stabbing his friend in a County Antrim hotel has been granted bail.,"John Morley, 29, of Deanstown, Finglas West, is alleged to have carried out a sustained weekend attack at the Chimney Corner Hotel in Mallusk.","John Morley, 29, of Deanstown, Finglas West, is alleged to have carried out a sustained weekend attack at the Chimney Corner Hotel in Mallusk.The victim, Derek White, was said to have been stabbed in the chest and leg.Mr Morley is charged with the attempted wounding of Mr White and possession of an offensive weapon with intent to commit an offence.He is also charged with possession of Class B drugs, namely cannabis.He will not be released from custody until all conditions are met - including the lodgement of a Â£2,000 cash surety.Mr White was taken to hospital with serious injuries.Police detained him after being called to the hotel just outside north Belfast in the early hours of Sunday.He was later released on bail.Paramedics were already on the scene treating Mr White, who is believed to be aged in his 30s.He has not been charged with any offence.At the defendant's first appearance before Belfast Magistrates' Court it was alleged that he chased the victim through the hotel with a flick knife.The incident took place on Saturday night.A police officer revealed the two men had travelled to Northern Ireland with their children for a footb"
35523296,"Aiton, 30, had scans to diagnose the injury on Monday.
He joined the Dragons from Leeds at the end of 2015, and missed the end of the last campaign with an arm injury.
The Papua New Guinea player played 94 games for both Wakefield and Leeds following his move from Cronulla-Sutherland Sharks in 2012.","Catalans Dragons will be without hooker Paul Aiton for up to six weeks after he tore a pectoral muscle on his debut, in a defeat by Wigan Warriors on Friday.","Aiton, 30, had scans to diagnose the injury on Monday.","Aiton, 30, had scans to diagnose the injury on Monday.He joined the Dragons from Leeds at the end of 2015, and missed the end- the last campaign with an arm injury.The Papua New Guinea player played 94 games for both Wakefield and Leeds following his move from Cronulla-Sutherland Sharks in 2012."
32612168,"The Sky Blues currently play in Coventry's Ricoh Arena but had a long dispute with the stadium's previous owners.
The council said the club wanted to meet to understand how it would deal with a planning application.
The club said it was not commenting ""at this stage"".
The club's owners, Sisu, have been involved in a long-running stand off with the previous operators of the Ricoh that saw the Sky Blues play the 2013/14 season in Northampton.
The arena is now owned by Premiership rugby team Wasps.
In a statement, Rugby Borough Council said its leader and the council's executive director and head of planning had met with Coventry City in March.
""The club requested the meeting to understand how the council would deal with any planning application for potential stadium sites in the borough of Rugby,"" it said.
It said the plans would need to be finalised by September to be included in the council's local plan, but added that a site had yet to be identified.
Peter Ward, from Sky Blues Supporters' Consultative Group, said he was pleased to hear that things were ""moving"" with the club's search for a new home.
""It's good that finally there is some evidence things are happening,"" he said.
""As we've heard from the club's directors, there is a need to take control of and have access to all the revenue streams.""
However, he said that fans could find a move out of Coventry difficult - particularly as they only moved from their previous home, Highfield Road, to the Ricoh in 2005.
""The move from Highfield Road to the Ricoh was a big emotional move for the fans,"" he said. ""This would be another big change.""",Planners in Rugby have revealed they have been in talks with Coventry City Football Club about building a stadium in the borough.,The Sky Blues currently play in Coventry's Ricoh Arena but had a long dispute with the stadium's previous owners.,"The Sky Blues currently play in Coventry's Ricoh Arena but had a long dispute with the stadium's previous owners.The council said the club wanted to meet to understand how it would deal with a planning application.The club said it was not commenting ""at this stage"".The club's owners, Sisu, have been involved in a long-running stand off with the previous operators of the Ricoh that saw the Sky Blues play the 2013/14 season in Northampton.The arena is now owned by Premiership rugby team Wasps.Sisu is currently in talks with Coventry City over a potential stadium site in the borough of Rugby.In a statement, Rugby Borough Council said its leader and the council's executive director and head of planning had met to discuss a potential site for the stadium.""The club requested the meeting to understand what the council would do with any planning application for potential stadium sites in the Borough of Rugby,"" it said.It said the plans would need to be finalised by September to be included in the council in the local plan, but added that a site had yet to be identified.Sky Blues Supporters’ Consultative GroupPeter Ward, from Sky Blues Supporters' Consultative group,"
